Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
Breeding biology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Avian communication,,,,,,,,,,,,,,
M. F. Fazili,2002,"A study on the annual cycle of some migratory and non-migratory birds at Wular lake, Kashmir",Department of Zoology,Srinagar,"The University of Kashmir, Srinagar",320+fig,Ph.D.,,,TD-00352,Migratory birds,,,
Wular lake,,,,,,,,,,,,,,
Breeding behaviour,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Life history strategies,,,,,,,,,,,,,,
Mating strategy,,,,,,,,,,,,,,
Pair formation,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
Chick development,,,,,,,,,,,,,,
Indian great reed warbler,,,,,,,,,,,,,,
Pheasant tailed jacana,,,,,,,,,,,,,,
Indian whiskered tern,,,,,,,,,,,,,,
Little bittern,,,,,,,,,,,,,,
Dabchick,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Migrational cycles,,,,,,,,,,,,,,
Bird migration,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Nesting behaviour,,,,,,,,,,,,,,
Nest building,,,,,,,,,,,,,,
Mating display,,,,,,,,,,,,,,
Courtship rituals,,,,,,,,,,,,,,
Nesting success,,,,,,,,,,,,,,
Egg development,,,,,,,,,,,,,,
Hatching,,,,,,,,,,,,,,
I. R. Gadhvi,2002,Ecological and behavioural studies on the White Ibis in Bhavnagar,Department of Zoology,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00182,Ibises,,,
Threskiornithidae,,,,,,,,,,,,,,
Threskiornis melanocephalus,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat occupancy,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
R. D. Gadkari,1971,"Bombay wild animals and wild birds protection act, 1951 - it's scope, applicability and limitations",Special Refreshers' Course,Dehradun,"Indian Forest College, Dehradun",24,Dissertation,,,TD-00366,Conservation biology,,,
Wildlife management,,,,,,,,,,,,,,
Wildlife protection act,,,,,,,,,,,,,,
Wildlife hunting,,,,,,,,,,,,,,
Hunting practices,,,,,,,,,,,,,,
Species management,,,,,,,,,,,,,,
A. P. Gafoor,2006,"Studies on the biodiversity of selected region of the Western Ghats, Thamarassery range of Kozhikode district",Farook College,Kozhikode,"University of Calicut, Calicut",,Ph.D.,,,TD-00163,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Western Ghats (South),,,,,,,,,,,,,,
Semi-evergreen forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Rainfall Pattern,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
A. M. Gajjar,2010,Ecology of Indian Peafowl Pavo cristatus L. in agricultural and forest habitats of Junagadh district,Department of Zoology,,"Hemachandracharya North Gujarat University, Patan",,Ph.D.,,,TD-00101,Galliformes,,,
Pavo cristatus,,,,,,,,,,,,,,
Phasianidae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Flagship species,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
N. B. Gandhi,2013,Study of terrestrial birds with special reference to insects as their food base around three reservoirs in Central Gujarat,Department of Zoology,,"Maharaja Sayajirao University of Baroda, Vadodara",,Ph.D.,,,TD-00098,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Insectivores,,,,,,,,,,,,,,
Seasonal diet,,,,,,,,,,,,,,
Diet compostion,,,,,,,,,,,,,,
T. Gandhi,1986,A comparative study of birds in monoculture plantations and natural scrub near Madras,,,"University of Mumbai, Mumbai",,Ph.D.,,,TD-00257,Landbirds,,,
Coromandel Plains,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Plantation forests,,,,,,,,,,,,,,
Zoological garden,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Seasonality,,,,,,,,,,,,,,
D. M. Garg,2017,"Study of physiochemical and biological properties of fresh water wetlands of north Rajasthan, India, with reference to their suitability for migratory birds",Department of Zoology,,Institute of Advanced Studies in Education (IASE),153,Ph.D.,,,TD-00405,Economic valuation,,,
Migratory birds,,,,,,,,,,,,,,
Freshwater ecosystem,,,,,,,,,,,,,,
Species-habitat interactions,,,,,,,,,,,,,,
Habitat suitability,,,,,,,,,,,,,,
Land use patterns,,,,,,,,,,,,,,
P. Gautam,1995,"Ecological studies of bird communities in proposed submergence area of Narmada Sagar Project, Madhya Pradesh, India",Wildlife Institute of India,Dehradun,"Aligarh Muslim University, Aligarh",,Ph.D.,,,TD-00126,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Thorn forests,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Water pollution,,,,,,,,,,,,,,
Dam,,,,,,,,,,,,,,
V. Gayathri,2014,"Heavy metals in the waterfowl in Nalabana Bird Sanctuary, Chilka lake, Odisha",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathidasan University, Trichirappalli",,M.Sc.,,,TD-00051,Waterfowl,,,
Eastern Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Heavy metal contamination,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Life-history parameters,,,gaythrivenkatramanan91@gmail.com,,,,,,,,,,,
S. Geetika,1992,Activity budget of Pheasant-tailed Jacana,,,"Aligarh Muslim University, Aligarh",,M.Sc.,,,TD-00280,Jacanas,,,
Hydrophasianus chirurgus,,,,,,,,,,,,,,
Jacanidae,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Marshes,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Time-budgeting,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
M. Ghosh,"2007, June",Winter ecology of three species of Phylloscopus Warblers,Wildlife Institute of India,Dehradun,"University of Saurashtra, Rajkot",53,M.Sc.,,,TD-00338,Phylloscopus warblers,,,
Western Himalayas foothills,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Microhabitat characteristics,,,,,,,,,,,,,,
Habitat occupancy,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Behavioural studies,,,,,,,,,,,,,,
Interspecific interaction,,,,,,,,,,,,,,
Species interaction,,,,,,,,,,,,,,
Shiwalik hills,,,,,,,,,,,,,,
Non-breeding studies,,,,,,,,,,,,,,
Resource utilization,,,,,,,,,,,,,,
M. G. Ghosh,2014,Distribution of breeding Phylloscopus and Seicercus warblers in the Himalayas: Role of ecomorphology and competition,Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00099,Leaf warblers,,,
Phylloscopidae,,,,,,,,,,,,,,
Siwalik Hills,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat quality,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Intra-specific competition,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Morphometrics,,,,,,,,,,,,,,
E. Girija,2002,"Studies on waterbirds of coastal sand flats of Thirumalairajanpatinam, Nagappattinam district, Tamil Nadu",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc,,,TD-00234,Shorebirds,,,
Coastal birds,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Coastal ecosystem,,,,,,,,,,,,,,
Sand flats,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat quality,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
V. Gokula,1998,"Bird communities of the thorn and dry decidious forests in Mudumalai Wildlife Sanctuary, south India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00005,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Thorn forests,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Bird Population,,,,,,,,,,,,,,
Foraging ecology,,,,,,,,,,,,,,
Nest-site characteristics,,,gokulae@yahoo.com,,,,,,,,,,,
G. V. Gopi,2012,"Nesting ecology of colonial waterbirds at Bhitarkanika mangroves, Orissa",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00116,Waterbirds,,,
Waterfowl,,,,,,,,,,,,,,
Sundarban & Orissa Coast,,,,,,,,,,,,,,
Mangrove ecosystem,,,,,,,,,,,,,,
Coasts,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Mangroves,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Colonial breeders,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Heronry,,,,,,,,,,,,,,
M. Goyal,,"Preliminary survey of House Sparrow  (Passer domesticus) in three different areas of Haridwar, Uttaranchal",Department of Environmental Science,,"Gurukul Kangri University, Haridwar",,M.Sc.,,,TD-00261,Sparrows,,,
Passeridae,,,,,,,,,,,,,,
Passer domesticus,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Population pattern,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat modification,,,,,,,,,,,,,,
Nest site selection,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
Threat assessment,,,,,,,,,,,,,,
N. Goyal,2017,Patterns in avian assemblages on two islands of the Central Nicobar with emphasis on interactions between the endemic Nicobar Bulbul & Red-whiskered Bulbul,Wildlife Instittute of India,Dehradun,"Saurashtra University, Rajkot",85,M.Sc.,,,TD-00333,Central Nicobar,,,
Bird community,,,,,,,,,,,,,,
Avian assemblage,,,,,,,,,,,,,,
Grassland habitat,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Primary forest,,,,,,,,,,,,,,
Secondary forest,,,,,,,,,,,,,,
Plantation,,,,,,,,,,,,,,
Red-whiskered Bulbul,,,,,,,,,,,,,,
Nicobar Bulbul,,,,,,,,,,,,,,
Bird species interaction,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Avian community,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Avian guild composition,,,,,,,,,,,,,,
Bird species inventory,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species-habitat matrix,,,,,,,,,,,,,,
Species-environment relationships,,,,,,,,,,,,,,
Interspecific interaction,,,,,,,,,,,,,,
Bird conservation,,,,,,,,,,,,,,
R. B. Grubh,1974,The birds of Gir forest: The ecology and behaviour of vultures in Gir forest,,,"University of Bombay, Bombay",,Ph.D.,,,TD-00054,Raptors,,,
Vultures,,,,,,,,,,,,,,
Accipitridae,,,,,,,,,,,,,,
Gyps bengalensis,,,,,,,,,,,,,,
Gyps indicus,,,,,,,,,,,,,,
Gyps fulvus,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Kathiawar Peninsula,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Dry Savannah forests,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Ecological balance,,,,,,,,,,,,,,
Plumage characteristics,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Scavengers,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Captive birds,,,,,,,,,,,,,,
V. K. Gupta,-- (came under WII database in 1992),A status survey of Pheasants in Jammu region and plan for Pheasant farm,The Directorate of Wildlife Research,Dehradun,"Forest Research Institute, Dehradun",56,Diploma dissertation,,,TD-00371,Landbirds,,,
Pheasant species,,,,,,,,,,,,,,
Birds of Jammu,,,,,,,,,,,,,,
Captive breeding,,,,,,,,,,,,,,
Species management,,,,,,,,,,,,,,
Bird farming,,,,,,,,,,,,,,
Pheasant farm,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Himalayan Monal,,,,,,,,,,,,,,
Lophophorus impeyanus,,,,,,,,,,,,,,
Western Tragopan,,,,,,,,,,,,,,
Tragopan melanocephalus,,,,,,,,,,,,,,
Koklas,,,,,,,,,,,,,,
Pucrasia macrolophus,,,,,,,,,,,,,,
Cheer Pheasant,,,,,,,,,,,,,,
Catreus wallichii,,,,,,,,,,,,,,
White crested Kaleej Pheasant,,,,,,,,,,,,,,
Gennacus hamiltoni,,,,,,,,,,,,,,
Indian Peafowl,,,,,,,,,,,,,,
Pavo cristatus,,,,,,,,,,,,,,
Red Junglefowl,,,,,,,,,,,,,,
Gallus gallus,,,,,,,,,,,,,,
M. B. Guptha,2006,"Status of wetlands and wetland birds in Coimbatore, Perambalur, Trichy and Tiruvarur districts in Tamilnadu",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,,,TD-00034,Wetland birds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species dominance,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
Threatened species,,,bubesh.gupta@gmail.com,,,,,,,,,,,
F. Hamid,2009,A study on waterfowl population and human use of Hokersar and Hygam wetlands of Kashmir valley for conservation planning,Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",245,Ph.D.,,,TD-00351,Wetland birds,,,
Waterfowls,,,,,,,,,,,,,,
Population studies,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Wetland ecosystem,,,,,,,,,,,,,,
Habitat characteristics,,,,,,,,,,,,,,
Waterbird ecology,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Bird diversity,,,,,,,,,,,,,,
Species management,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Habitat usage,,,,,,,,,,,,,,
Land use,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Landscape diversity,,,,,,,,,,,,,,
Aquatic ecosystem,,,,,,,,,,,,,,
Aquatic plants,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Nesting success,,,,,,,,,,,,,,
Bird abundance,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Anatidae,,,,,,,,,,,,,,
Ardeidae,,,,,,,,,,,,,,
Hygam wetland,,,,,,,,,,,,,,
Hokersar wetland,,,,,,,,,,,,,,
Conservation education,,,,,,,,,,,,,,
Ramsar site,,,,,,,,,,,,,,
Wetland resource extraction,,,,,,,,,,,,,,
Wetland biomass extraction,,,,,,,,,,,,,,
Resource utilization,,,,,,,,,,,,,,
Resource extraction management,,,,,,,,,,,,,,
Wetland conservation,,,,,,,,,,,,,,
Ecosystem-economy management,,,,,,,,,,,,,,
H. Hariharan,2017,Assessment of bird species richness and abundance in forest agricultural matrix in Uttarkashi and its importance in conservation,Department of Life Sciences,,"Central University of Tamil Nadu, Thiruvarur",,M.Sc.,,,TD-00321,Landbirds,,,
Trans-Himalayas,,,,,,,,,,,,,,
Mixed forests,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Pine forests,,,,,,,,,,,,,,
Riverine forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat sharing,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Adaptive plasticity,,,,,,,,,,,,,,
S. Harikrishnan,2006,Behaviour of Indian Peafowl Pavo cristatus Linn. 1758,Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",27,M.Sc.,,,TD-00345,Indian Peafowl,,,
Pavo cristatus,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Species ecology,,,,,,,,,,,,,,
Behavioural studies,,,,,,,,,,,,,,
Mating system,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Mating display,,,,,,,,,,,,,,
Breeding behaviour,,,,,,,,,,,,,,
P. Hazra,2015,"Photoperiodic effects and temperature impacts in migratory waterbirds at some tropical wetlands of South Bengal, India",Department of Zoology,Kolkata,"University of Calcutta, Kolkata","v, 108p.",Ph.D.,,,TD-00090,Wetland birds,,,
Waterfowl,,,,,,,,,,,,,,
Lower Gangetic Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Photoreception,,,,,,,,,,,,,,
Circadian rhythm,,,,,,,,,,,,,,
Day length,,,,,,,,,,,,,,
Climate change,,,,,,,,,,,,,,
Thermoregulation,,,,,,,,,,,,,,
G. Indumathi,2016,"Level of polycyclic aromatic hydrocarbons in select species of birds from Ahmedabad, Gujarat",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Vivekanandha College of Arts and Sciences for Women, Thiruchengode",,M.Sc.,,,TD-00052,Landbirds,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Organic contaminants,,,,,,,,,,,,,,
Bio-accumulation,,,,,,,,,,,,,,
QuEChERS extraction,,,,,,,,,,,,,,
S. M. Iqbal,1992,Studies on the Ecology and Behaviour of White-crested Kalij Lophura leucomelana hamiltoni (Gray) in the North-west Himalaya,Department of Zoology,Srinagar,University of Kashmir,177,Ph.D.,,,TD-00400,Lophura leucomelana hamiltoni,,,
Habitat use,,,,,,,,,,,,,,
Habitat diversity,,,,,,,,,,,,,,
Seasonality,,,,,,,,,,,,,,
Social behaviour,,,,,,,,,,,,,,
Species associations,,,,,,,,,,,,,,
Home range estimators,,,,,,,,,,,,,,
Home range,,,,,,,,,,,,,,
Species-habitat interactions,,,,,,,,,,,,,,
Species-area relationships,,,,,,,,,,,,,,
P. Iqubal,1992,Breeding behaviour in Sarus Crane (Grus antigone antigone),,,"Aligarh Muslim University, Aligarh",,,,,TD-00281,Cranes,,,
Gruidae,,,,,,,,,,,,,,
Antigone antigone,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Breeding habitat,,,,,,,,,,,,,,
Courtship behaviour,,,,,,,,,,,,,,
Territorial behaviour,,,,,,,,,,,,,,
F. Ishtiaq,1998,"Comparative ecology and behaviour of storks in Keoladeo National Park, Rajasthan, India",,,"Aligarh Muslim University, Aligarh",,Ph.D.,,,TD-00083,Storks,,,
Ciconiidae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands ,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Morphology,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Reproductive success,,,,,,,,,,,,,,
Colonial breeders,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
M. A. Islam,1985,Ecology of the laughing thrushes of India with special reference to the endemic species,,,"University of Bombay, Bombay",,Ph.D.,,,TD-00059,Laughingthrushes,,,
Leiothrichidae,,,,,,,,,,,,,,
Garrulax cachinnans,,,,,,,,,,,,,,
Garrulax jerdoni,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Endemic species,,,,,,,,,,,,,,
Avian Vocalization,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Territorial behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
R. D. Jadav,2010,Ecological status and importance of grasslands in conservation of avian fauna in Saurashtra,Department of Zoology,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00102,Landbirds,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity ,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Energy flow,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Prey availability,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
M. P. Jafer,2015,Habitat use of birds of north Malabar coast with special reference to the White-bellied Sea Eagle Haliaeetus leucogaster,Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00315,Raptors,,,
Accipitridae,,,,,,,,,,,,,,
Haliaeetus leucogaster,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Coasts,,,,,,,,,,,,,,
Estuaries,,,,,,,,,,,,,,
Inland wetland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Parental care ,,,,,,,,,,,,,,
Nestling growth pattern,,,,,,,,,,,,,,
R. Jagadeesan,2013,"Assessment of bird community structure in selected plantations with special reference to breeding birds in Theni forest division, Western Ghats, south India",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,,,TD-00044,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Avian biogeography,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Vegetation ,,,,,,,,,,,,,,
Point Centered Quarter method,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
S. M. Jaimohan,2012,Crystallographic studies on Collagen peptides involved in Osteogenesis imperfecta (OI): some avian & fish haemoglobin in hypoxic conditions,Central Leather Research Institute (CLRI),Chennai,"University of Madras, Chennai",131,Ph.D.,,,TD-00326,Collagen,,,
X-ray crystallography,,,,,,,,,,,,,,
Hanging drop vapour diffusion method,,,,,,,,,,,,,,
amino acid,,,,,,,,,,,,,,
Osteogenesis imperfecta,,,,,,,,,,,,,,
Ramachandran plot,,,,,,,,,,,,,,
Polypeptide chain structure,,,,,,,,,,,,,,
S. Javed,1996,Study on bird community structure of terai forest in Dudhwa National Park,,,"Aligarh Muslim University, Aligarh",,Ph.D.,,,TD-00079,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Semi-evergreen forests,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Microhabitat characteristics,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Foraging guilds,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
